<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FB-RM;60;20200917;200000;19261.0000000;19261.0000000;19030.0000000;19066.0000000;145
FB-RM;60;20200917;210000;19066.0000000;19190.0000000;18990.0000000;19090.0000000;218
FB-RM;60;20200917;220000;19100.0000000;19120.0000000;18954.0000000;18954.0000000;85
FB-RM;60;20200917;230000;18955.0000000;19150.0000000;18875.0000000;19150.0000000;193
FB-RM;60;20200918;0;19217.0000000;19230.0000000;19150.0000000;19230.0000000;14
FB-RM;60;20200918;110000;19429.0000000;19429.0000000;19165.0000000;19165.0000000;42
FB-RM;60;20200918;120000;19153.0000000;19251.0000000;19091.0000000;19207.0000000;11
FB-RM;60;20200918;130000;19253.0000000;19269.0000000;19253.0000000;19269.0000000;4
FB-RM;60;20200918;140000;19308.0000000;19309.0000000;19269.0000000;19269.0000000;167
FB-RM;60;20200918;150000;19282.0000000;19550.0000000;19282.0000000;19448.0000000;52
FB-RM;60;20200918;160000;19500.0000000;19574.0000000;19500.0000000;19544.0000000;44
FB-RM;60;20200918;170000;19528.0000000;19595.0000000;19367.0000000;19442.0000000;81
FB-RM;60;20200918;180000;19569.0000000;19569.0000000;19207.0000000;19207.0000000;51
FB-RM;60;20200918;190000;19182.0000000;19249.0000000;19182.0000000;19249.0000000;19
FB-RM;60;20200918;200000;19163.0000000;19163.0000000;19023.0000000;19034.0000000;82
FB-RM;60;20200918;210000;19071.0000000;19071.0000000;19000.0000000;19000.0000000;19
FB-RM;60;20200918;220000;19100.0000000;19135.0000000;19100.0000000;19135.0000000;32
FB-RM;60;20200918;230000;19135.0000000;19138.0000000;19100.0000000;19100.0000000;45
FB-RM;60;20200919;0;19182.0000000;19182.0000000;19182.0000000;19182.0000000;1
FB-RM;60;20200921;110000;19062.0000000;19106.0000000;18800.0000000;18928.0000000;37
FB-RM;60;20200921;120000;18927.0000000;19012.0000000;18888.0000000;18946.0000000;66
FB-RM;60;20200921;130000;18930.0000000;19000.0000000;18929.0000000;18937.0000000;285
FB-RM;60;20200921;140000;18939.0000000;18951.0000000;18938.0000000;18951.0000000;4
FB-RM;60;20200921;150000;18952.0000000;19012.0000000;18810.0000000;18895.0000000;24
FB-RM;60;20200921;160000;18863.0000000;18895.0000000;18860.0000000;18871.0000000;10
FB-RM;60;20200921;170000;18890.0000000;19007.0000000;18692.0000000;18802.0000000;186
FB-RM;60;20200921;180000;18743.0000000;18890.0000000;18695.0000000;18791.0000000;131
FB-RM;60;20200921;190000;18845.0000000;18861.0000000;18742.0000000;18814.0000000;23
FB-RM;60;20200921;200000;18889.0000000;18900.0000000;18864.0000000;18900.0000000;8
FB-RM;60;20200921;210000;19017.0000000;19081.0000000;18999.0000000;18999.0000000;11
FB-RM;60;20200921;220000;18971.0000000;18971.0000000;18780.0000000;18850.0000000;49
FB-RM;60;20200921;230000;18900.0000000;18998.0000000;18880.0000000;18950.0000000;42
FB-RM;60;20200922;0;18951.0000000;18978.0000000;18950.0000000;18978.0000000;3
FB-RM;60;20200922;110000;18885.0000000;19020.0000000;18846.0000000;18964.0000000;55
FB-RM;60;20200922;120000;19024.0000000;19125.0000000;19022.0000000;19125.0000000;17
FB-RM;60;20200922;130000;19098.0000000;19200.0000000;19098.0000000;19109.0000000;164
FB-RM;60;20200922;140000;19115.0000000;19150.0000000;19115.0000000;19150.0000000;2
FB-RM;60;20200922;150000;19194.0000000;19200.0000000;19088.0000000;19088.0000000;99
FB-RM;60;20200922;160000;19100.0000000;19100.0000000;19100.0000000;19100.0000000;8
FB-RM;60;20200922;170000;19088.0000000;19243.0000000;18950.0000000;18986.0000000;250
FB-RM;60;20200922;180000;19010.0000000;19125.0000000;19000.0000000;19000.0000000;53
FB-RM;60;20200922;190000;18975.0000000;19304.0000000;18975.0000000;19209.0000000;34
FB-RM;60;20200922;200000;19228.0000000;19352.0000000;19177.0000000;19182.0000000;45
FB-RM;60;20200922;210000;19240.0000000;19260.0000000;19140.0000000;19196.0000000;180
FB-RM;60;20200922;220000;19208.0000000;19308.0000000;19208.0000000;19257.0000000;30
FB-RM;60;20200922;230000;19308.0000000;19415.0000000;19308.0000000;19360.0000000;25
FB-RM;60;20200923;0;19545.0000000;19545.0000000;19360.0000000;19360.0000000;20
FB-RM;60;20200923;110000;19544.0000000;19595.0000000;19432.0000000;19439.0000000;61
FB-RM;60;20200923;120000;19454.0000000;19545.0000000;19454.0000000;19529.0000000;21
FB-RM;60;20200923;130000;19500.0000000;19550.0000000;19500.0000000;19550.0000000;16
FB-RM;60;20200923;140000;19569.0000000;19681.0000000;19569.0000000;19613.0000000;43
FB-RM;60;20200923;150000;19613.0000000;19663.0000000;19589.0000000;19610.0000000;145
FB-RM;60;20200923;160000;19610.0000000;19610.0000000;19544.0000000;19594.0000000;133
FB-RM;60;20200923;170000;19617.0000000;19800.0000000;19517.0000000;19631.0000000;123
FB-RM;60;20200923;180000;19631.0000000;19722.0000000;19629.0000000;19631.0000000;103
FB-RM;60;20200923;190000;19600.0000000;19600.0000000;19400.0000000;19408.0000000;107
FB-RM;60;20200923;200000;19400.0000000;19408.0000000;19378.0000000;19408.0000000;64
FB-RM;60;20200923;210000;19530.0000000;19592.0000000;19408.0000000;19408.0000000;34
FB-RM;60;20200923;220000;19378.0000000;19378.0000000;19220.0000000;19220.0000000;148
FB-RM;60;20200923;230000;19200.0000000;19292.0000000;19142.0000000;19147.0000000;77
FB-RM;60;20200924;0;19200.0000000;19200.0000000;19200.0000000;19200.0000000;1
FB-RM;60;20200924;110000;19072.0000000;19128.0000000;18936.0000000;19114.0000000;25
FB-RM;60;20200924;120000;19188.0000000;19188.0000000;19188.0000000;19188.0000000;5
FB-RM;60;20200924;130000;19188.0000000;19188.0000000;19158.0000000;19158.0000000;11
FB-RM;60;20200924;140000;19188.0000000;19200.0000000;19188.0000000;19200.0000000;3
FB-RM;60;20200924;150000;19174.0000000;19184.0000000;19174.0000000;19184.0000000;5
FB-RM;60;20200924;160000;19071.0000000;19084.0000000;19001.0000000;19084.0000000;48
FB-RM;60;20200924;170000;19142.0000000;19300.0000000;19056.0000000;19300.0000000;206
FB-RM;60;20200924;180000;19307.0000000;19307.0000000;19200.0000000;19226.0000000;20
FB-RM;60;20200924;190000;19337.0000000;19400.0000000;19316.0000000;19316.0000000;20
FB-RM;60;20200924;210000;19308.0000000;19400.0000000;19250.0000000;19400.0000000;29
